Country,Brand ,Brand Prefix,Product,Product Prefix,Standard Promocode,Product Type,Rate Plan Week,Rate Plan Month,Rate Plan Quarter,Rate Plan 6 months,Rate Plan Year,Rate Plan Year/month,Rate plan 6-month/month,Rate plan quarter/month,Rate Plan Day,In-app 3 mån,in-app 6 mån,Pub 1500,Pub 2000,B2B Year,Övriga Sverige Månad,Övriga Sverige Kvartal,Övriga Sverige Halvår,Övriga Sverige År,Sthlm Månad,Sthlm Kvartal,Sthlm Halvår,Sthlm År,Företag År
SE,Svenska Dagbladet,SVD,SvD Superpaketet - tillägg helg,AO-KH,SVD-AO-KH-,Print,N/A,69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Svenska Dagbladet,SVD,SvD taltidning,TAL,SVD-TAL-,Digital,N/A,N/A,N/A,N/A,2304,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Svenska Dagbladet,SVD,SvD taltidning - tillägg,AO-TAL,SVD-AO-TAL,Digital,N/A,N/A,N/A,N/A,480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE,Svenska Dagbladet,SVD,SvD Vinklubb,V,SVD-V-,Digital,N/A,39,N/A,N/A,399,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,VektKlubb,VEK,Vektklubb,,VEK-,Health,N/A,N/A,N/A,N/A,N/A,149,199,249,N/A,749,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,Dine Penger+,DP,DP-,Digital,39,89,N/A,N/A,1059,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,MinMote strikk,MM,VG-MM-,Digital,39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG eavis,eavis,VG-eavis-,Digital,59,179,499,949,1788,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG eavis med VG+,,,Digital,N/A,209,N/A,N/A,2199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG Weekend fredag-lørdag,W56,VG-W56-,Print,N/A,329,949,1849,3599,N/A,N/A,N/A,N/A,N/A,N/A,1875,2500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG Weekend hele helgen,W,VG-W-,Print,N/A,349,1047,2094,4188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG Weekend lørdag-søndag,W67,VG-W67-,Print,N/A,299,897,1794,3588,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG+,,,Digital,39,99,225,349,799,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG+ Basis,BAS,VG-BAS-,Digital,59,99,225,499,799,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG+ Flex,FT,VG-F-,Print,N/A,299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG+ Full Tilgang,FT,VG-FT-,Digital,N/A,379,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG+ og Dine Penger+,DP,VG-DP-,Digital,59,119,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG+ og PodMe,PM,VG-PM-,Digital,59,119,N/A,649,1199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG+ Sport,S,VG-S-,Digital,59,149,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Verdens Gang,VG,VG+ Total,T,VG-T-,Digital,N/A,179,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Wellobe,W,Wellobe,,W-,Health,N/A,N/A,N/A,N/A,N/A,199,229,279,N/A,N/A,1470,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
