brand_code,brand_name,country,product_name,product_type,Rate Plan Week,Rate Plan Month,Rate Plan Quarter,Rate Plan 6 months,Rate Plan Year,Rate Plan Year/month,Rate plan 6-month/month,Rate plan quarter/month,Rate Plan Day,Rate Plan In-app 3 mån,Rate Plan in-app 6 mån,Rate Plan Pub 1500,Rate Plan Pub 2000,Rate Plan B2B Year,Rate Plan Övriga Sverige Månad,Rate Plan Övriga Sverige Kvartal,Rate Plan Övriga Sverige Halvår,Rate Plan Övriga Sverige År,Rate Plan Sthlm Månad,Rate Plan Sthlm Kvartal,Rate Plan Sthlm Halvår,Rate Plan Sthlm År,Rate Plan Företag År
SVD,Svenska Dagbladet,SE,SvD digital premium SP,digital,N/A,379,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SVD,Svenska Dagbladet,SE,SvD taltidning,digital,N/A,N/A,N/A,N/A,2304,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SVD,Svenska Dagbladet,SE,SvD taltidning - tillägg,digital,N/A,N/A,N/A,N/A,480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SVD,Svenska Dagbladet,SE,SvD digital standard & Podme,digital,57,249,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SVD,Svenska Dagbladet,SE,SvD komplett alla dagar,print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,799,2397,N/A,9588,799,2397,4794,9588,10788
SVD,Svenska Dagbladet,SE,SvD komplett helg,print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,519,1557,3114,5628,7188
SVD,Svenska Dagbladet,SE,Svenska Dagbladet söndag,print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,149,447,894,1788,N/A,N/A,N/A,N/A,1788
SVD,Svenska Dagbladet,SE,SvD komplett vardag,print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,499,1497,2994,5988,7188
SVD,Svenska Dagbladet,SE,SvD komplett sexdagars,print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,699,2097,4194,8388,N/A,N/A,N/A,N/A,N/A
SVD,Svenska Dagbladet,SE,SvD komplett tredagars,print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,519,1557,3114,6228,N/A
PM,Podme NO,NO,Podme NO,digital,N/A,79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VK,VektKlubb,NO,Vektklubb,digital,N/A,N/A,N/A,N/A,N/A,149,199,249,N/A,749,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
W,Wellobe,SE,Wellobe,digital,N/A,N/A,N/A,N/A,N/A,199,229,279,N/A,N/A,1470,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
